upd,loss,best,alpha_sum,prob_0,prob_1,prob_2,prob_3,alpha_0,alpha_1,alpha_2,alpha_3,pused_0,pused_1,pused_2,pused_3,ophist_0,ophist_1,ophist_2,ophist_3,opimp_0,opimp_1,opimp_2,opimp_3
38,0.07925363630056381,466875537.2445179,6.756302356719971,0.26503702998161316,0.22581282258033752,0.2488180249929428,0.2603321075439453,1.7906702756881714,1.5256596803665161,1.6810897588729858,1.7588824033737183,0.5099999904632568,0.07900000363588333,0.30000001192092896,0.11100000143051147,0.4000000059604645,0.14000000059604645,0.3199999928474426,0.14000000059604645,0.05000000074505806,0.0,0.375,0.14300000667572021
39,0.08109539747238159,466875537.2445179,6.7226881980896,0.26534515619277954,0.22494301199913025,0.24934211373329163,0.26036974787712097,1.7838327884674072,1.5122216939926147,1.6762492656707764,1.7503846883773804,0.054999999701976776,0.017999999225139618,0.8809999823570251,0.04699999839067459,0.05999999865889549,0.019999999552965164,0.8799999952316284,0.03999999910593033,0.3330000042915344,0.0,0.22699999809265137,1.0
40,0.09100041538476944,466875537.2445179,6.689075469970703,0.26498153805732727,0.22526158392429352,0.2489273101091385,0.26082950830459595,1.7724815607070923,1.5067917108535767,1.6650935411453247,1.7447082996368408,0.6019999980926514,0.07199999690055847,0.17900000512599945,0.1459999978542328,0.6200000047683716,0.019999999552965164,0.20000000298023224,0.1599999964237213,0.16099999845027924,0.0,0.30000001192092896,0.0
41,0.077799491584301,466875537.2445179,6.655462741851807,0.26482731103897095,0.22502084076404572,0.2493329644203186,0.26081886887550354,1.7625483274459839,1.4976178407669067,1.659426212310791,1.735870361328125,0.13199999928474426,0.06199999898672104,0.7749999761581421,0.03099999949336052,0.14000000059604645,0.1599999964237213,0.6399999856948853,0.05999999865889549,0.0,0.125,0.15600000321865082,0.0
42,0.08868052065372467,466875537.2445179,6.621848106384277,0.26442649960517883,0.22517085075378418,0.2507267892360687,0.25967589020729065,1.7509920597076416,1.4910471439361572,1.660274624824524,1.7195343971252441,0.22499999403953552,0.15600000321865082,0.08399999886751175,0.5360000133514404,0.1599999964237213,0.11999999731779099,0.10000000149011612,0.6200000047683716,0.125,0.0,0.20000000298023224,0.09700000286102295
43,0.09255629032850266,466875537.2445179,6.588235378265381,0.26452645659446716,0.22477565705776215,0.25011345744132996,0.26058441400527954,1.742762565612793,1.4808748960494995,1.6478062868118286,1.7167915105819702,0.18799999356269836,0.0989999994635582,0.47099998593330383,0.24300000071525574,0.14000000059604645,0.18000000715255737,0.5,0.18000000715255737,0.14300000667572021,0.0,0.2800000011920929,0.0
44,0.08445195853710175,466875537.2445179,6.554621696472168,0.26510706543922424,0.22310619056224823,0.2505132257938385,0.26127350330352783,1.7376765012741089,1.4623767137527466,1.6420193910598755,1.7125489711761475,0.0729999989271164,0.057999998331069946,0.4819999933242798,0.3869999945163727,0.019999999552965164,0.03999999910593033,0.46000000834465027,0.47999998927116394,0.0,0.0,0.21699999272823334,0.125
45,0.07327686250209808,466875537.2445179,6.5210089683532715,0.2640131413936615,0.2252091020345688,0.25065919756889343,0.2601185142993927,1.7216321229934692,1.4685906171798706,1.6345508098602295,1.696235179901123,0.2840000092983246,0.4350000023841858,0.0430000014603138,0.23800000548362732,0.25999999046325684,0.46000000834465027,0.05999999865889549,0.2199999988079071,0.07699999958276749,0.0,0.3330000042915344,0.09099999815225601
46,0.08662145584821701,466875537.2445179,6.4873948097229,0.2627403736114502,0.22687597572803497,0.24682952463626862,0.2635541558265686,1.7045005559921265,1.4718340635299683,1.6012805700302124,1.7097798585891724,0.050999999046325684,0.14000000059604645,0.6779999732971191,0.13199999928474426,0.019999999552965164,0.10000000149011612,0.6800000071525574,0.20000000298023224,0.0,0.0,0.3240000009536743,0.0
47,0.07530540972948074,466875537.2445179,6.4537811279296875,0.26404616236686707,0.2243838608264923,0.251219779253006,0.2603502869606018,1.7040960788726807,1.4481242895126343,1.6213173866271973,1.680243730545044,0.2540000081062317,0.028999999165534973,0.38499999046325684,0.3330000042915344,0.25999999046325684,0.0,0.3199999928474426,0.41999998688697815,0.15399999916553497,0.0,0.18799999356269836,0.0949999988079071
48,0.08221752941608429,466875537.2445179,6.420167922973633,0.26361578702926636,0.2252197265625,0.2504718005657196,0.26069265604019165,1.692457675933838,1.4459484815597534,1.608070969581604,1.673690676689148,0.36000001430511475,0.04100000113248825,0.3709999918937683,0.2280000001192093,0.3799999952316284,0.03999999910593033,0.3199999928474426,0.25999999046325684,0.05299999937415123,0.5,0.125,0.15399999916553497
49,0.07170321047306061,466875537.2445179,6.386555194854736,0.26323074102401733,0.22568906843662262,0.2507839500904083,0.2602962553501129,1.6811375617980957,1.441375732421875,1.6016454696655273,1.6623963117599487,0.15399999916553497,0.49000000953674316,0.2630000114440918,0.09300000220537186,0.18000000715255737,0.5600000023841858,0.20000000298023224,0.05999999865889549,0.11100000143051147,0.10700000077486038,0.5,0.3330000042915344
50,0.07729795575141907,466875537.2445179,6.352941036224365,0.26352083683013916,0.2252415269613266,0.249929741024971,0.26130789518356323,1.6741323471069336,1.4309461116790771,1.5877889394760132,1.6600736379623413,0.07800000160932541,0.5899999737739563,0.0949999988079071,0.2370000034570694,0.0,0.6600000262260437,0.10000000149011612,0.23999999463558197,0.0,0.029999999329447746,0.0,0.08299999684095383
51,0.0753374844789505,466875537.2445179,6.319328308105469,0.2635324001312256,0.22506506741046906,0.25076842308044434,0.26063406467437744,1.6653478145599365,1.422260046005249,1.5846880674362183,1.6470322608947754,0.37599998712539673,0.05000000074505806,0.23199999332427979,0.34200000762939453,0.4000000059604645,0.03999999910593033,0.2199999988079071,0.3400000035762787,0.0,0.0,0.18199999630451202,0.11800000071525574
52,0.07609935849905014,466875537.2445179,6.285714626312256,0.263664186000824,0.2247745245695114,0.2507052719593048,0.2608560025691986,1.6573177576065063,1.4128684997558594,1.5758618116378784,1.6396664381027222,0.3179999887943268,0.02500000037252903,0.20200000703334808,0.45500001311302185,0.36000001430511475,0.07999999821186066,0.18000000715255737,0.3799999952316284,0.11100000143051147,0.0,0.11100000143051147,0.210999995470047
53,0.0873173400759697,466875537.2445179,6.252101421356201,0.26307860016822815,0.22556239366531372,0.25098615884780884,0.2603728175163269,1.6447941064834595,1.4102389812469482,1.5691908597946167,1.6278773546218872,0.03400000184774399,0.3580000102519989,0.2939999997615814,0.3140000104904175,0.05999999865889549,0.2800000011920929,0.30000001192092896,0.36000001430511475,0.0,0.07100000232458115,0.3330000042915344,0.11100000143051147
54,0.06821324676275253,466875537.2445179,6.218487739562988,0.2632234990596771,0.22521162033081055,0.2512829303741455,0.26028186082839966,1.6368520259857178,1.4004757404327393,1.5625998973846436,1.6185595989227295,0.48899999260902405,0.10899999737739563,0.24199999868869781,0.1599999964237213,0.3799999952316284,0.14000000059604645,0.30000001192092896,0.18000000715255737,0.0,0.0,0.4000000059604645,0.22200000286102295
55,0.06665968894958496,466875537.2445179,6.184874057769775,0.26314494013786316,0.2254372239112854,0.2510705590248108,0.26034727692604065,1.6275182962417603,1.3943008184432983,1.552839756011963,1.6102150678634644,0.6019999980926514,0.05999999865889549,0.2540000081062317,0.08399999886751175,0.6000000238418579,0.03999999910593033,0.3400000035762787,0.019999999552965164,0.10000000149011612,0.0,0.3529999852180481,0.0
56,0.06390337646007538,466875537.2445179,6.1512603759765625,0.26284652948379517,0.22566361725330353,0.25129809975624084,0.26019173860549927,1.6168373823165894,1.388115644454956,1.5458000898361206,1.600507140159607,0.22100000083446503,0.23499999940395355,0.46700000762939453,0.07699999958276749,0.18000000715255737,0.3400000035762787,0.41999998688697815,0.05999999865889549,0.22200000286102295,0.05900000035762787,0.23800000548362732,0.0
